Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
67,240,60,13680,6,5,e,152,2,p
63,240,60,13680,6,5,e,153,1,p
58,240,60,13680,6,5,e,154,1,p
50,240,60,13920,6,5,e,155,2,p
77,120,60,14040,6,2,s,156,2,p
75,120,60,14160,6,2,s,157,2,p
63,240,60,14160,6,5,e,158,2,p
55,240,60,14160,6,5,e,159,1,p
74,120,60,14280,6,2,s,160,2,p
75,120,60,14400,6,2,s,161,2,p
67,240,60,14400,6,5,e,162,2,p
63,240,60,14400,6,5,e,163,1,p
58,240,60,14400,6,5,e,164,1,p
77,120,60,14520,6,2,s,165,2,p
79,120,60,14640,7,2,s,166,2,p
48,240,60,14640,7,5,e,167,2,p
71,120,60,14760,7,2,s,168,2,p
72,120,60,14880,7,2,s,169,2,p
64,240,60,14880,7,5,e,170,2,p
55,240,60,14880,7,5,e,171,1,p
73,120,60,15000,7,2,s,172,2,p
72,120,60,15120,7,2,s,173,2,p
67,240,60,15120,7,5,e,174,2,p
64,240,60,15120,7,5,e,175,1,p
58,240,60,15120,7,5,e,176,1,p
77,120,60,15240,7,2,s,177,2,p
76,120,60,15360,7,2,s,178,2,p
48,240,60,15360,7,5,e,179,2,p
80,120,60,15480,7,2,s,180,2,p
79,120,60,15600,7,2,s,181,2,p
64,240,60,15600,7,5,e,182,2,p
55,240,60,15600,7,5,e,183,1,p
85,120,60,15720,7,2,s,184,2,p
84,120,60,15840,7,2,s,185,2,p
70,240,60,15840,7,5,e,186,2,p
64,240,60,15840,7,5,e,187,1,p
60,240,60,15840,7,5,e,188,1,p
79,120,60,15960,7,2,s,189,2,p
82,720,60,16080,7,2,c,190,2,p
41,240,60,16080,7,5,e,191,2,p
61,240,60,16320,7,5,e,192,2,p
53,240,60,16320,7,5,e,193,1,p
64,240,60,16560,7,5,e,194,2,p
61,240,60,16560,7,5,e,195,1,p
58,240,60,16560,7,5,e,196,1,p
80,480,60,16800,7,2,q,197,2,p
41,240,60,16800,7,5,e,198,2,p
60,240,60,17040,7,5,e,199,2,p
53,240,60,17040,7,5,e,200,1,p
79,240,60,17280,7,2,e,201,2,p
65,240,60,17280,7,5,e,202,2,p
60,240,60,17280,7,5,e,203,1,p
56,240,60,17280,7,5,e,204,1,p
77,720,60,17520,8,2,c,205,2,p
46,240,60,17520,8,5,e,206,2,p
62,240,60,17760,8,5,e,207,2,p
53,240,60,17760,8,5,e,208,1,p
68,240,60,18000,8,5,e,209,2,p
62,240,60,18000,8,5,e,210,1,p
58,240,60,18000,8,5,e,211,1,p
